product_id,product_name,category_id,seller_id,price,cost_price,stock_qty,discount_pct,asin,status,weight_kg,rating,description
1,Apple iPhone 15 Pro Max 256GB,2,1,1199,820,350,3,ASIN-B0CHX1W1XY,Active,0.22,4.8,iPhone 15 Pro Max features titanium design and A17 Pro chip
2,Samsung Galaxy S24 Ultra 512GB,2,6,1299,890,280,5,ASIN-B0CNTPYWFY,Active,0.23,4.7,Galaxy S24 Ultra with S Pen and 200MP camera
3,Google Pixel 8 Pro 128GB,2,12,999,680,190,8,ASIN-B0CGP4YN5Q,Active,0.21,4.6,Pixel 8 Pro with Google AI and best-in-class camera
4,OnePlus 12 256GB,2,6,799,520,220,10,ASIN-B0CQWXZRST,Active,0.2,4.5,OnePlus 12 flagship with Snapdragon 8 Gen 3
5,Apple iPad Pro 12.9 M2,2,1,1099,750,150,2,ASIN-B0BJLF2BRM,Active,0.68,4.8,iPad Pro with M2 chip and Liquid Retina XDR display
6,Apple MacBook Pro 14 M3 Pro,3,1,1999,1380,120,0,ASIN-B0CM5JV2RY,Active,1.61,4.9,MacBook Pro M3 Pro with 18GB RAM and 512GB SSD
7,Dell XPS 15 Intel i9,3,12,1799,1240,95,5,ASIN-B0B3XMPK1R,Active,1.86,4.6,Dell XPS 15 OLED display with RTX 4070
8,HP Spectre x360 14,3,12,1349,920,110,7,ASIN-B0BW72YGX7,Active,1.36,4.5,HP Spectre x360 2-in-1 convertible laptop
9,Lenovo ThinkPad X1 Carbon Gen 11,3,12,1449,980,80,4,ASIN-B0C2Z7KPXQ,Active,1.12,4.7,ThinkPad X1 Carbon ultralight business laptop
10,ASUS ROG Zephyrus G14,3,6,1249,840,140,6,ASIN-B0BZWNF81Y,Active,1.65,4.6,ROG Zephyrus gaming laptop with RTX 4060
11,Sony WH-1000XM5 Wireless,4,6,349,195,400,12,ASIN-B09XS7JWHH,Active,0.25,4.8,Industry-leading noise cancelling headphones
12,Apple AirPods Pro 2nd Gen,4,1,249,145,600,8,ASIN-B0BDHWDR12,Active,0.06,4.7,AirPods Pro with H2 chip and Adaptive Audio
13,Bose QuietComfort 45,4,6,329,188,310,15,ASIN-B098FKXT8L,Active,0.24,4.6,Bose QC45 wireless noise cancelling headphones
14,JBL Charge 5 Bluetooth Speaker,4,6,179,95,520,5,ASIN-B08XNNVJ3K,Active,0.96,4.7,JBL Charge 5 portable waterproof speaker
15,Sonos Era 300 Speaker,4,6,449,290,180,0,ASIN-B0BW8YNWMV,Active,2.72,4.5,Sonos Era 300 spatial audio speaker
16,Sony A7 IV Mirrorless Camera,5,6,2499,1720,75,0,ASIN-B09JZT6YK2,Active,0.66,4.9,Sony Alpha 7 IV full-frame mirrorless camera
17,Canon EOS R6 Mark II,5,6,2499,1710,68,0,ASIN-B0BG2HNLXQ,Active,0.68,4.8,Canon EOS R6 Mark II 40fps mirrorless camera
18,GoPro HERO12 Black,5,5,399,238,290,10,ASIN-B0CDP3XSMR,Active,0.15,4.6,GoPro HERO12 Black 5.3K action camera
20,Ralph Lauren Polo Shirt,7,7,98,42,650,15,ASIN-B00ILMRQNS,Active,0.3,4.5,Ralph Lauren Classic Fit Polo Shirt
21,Nike Dri-FIT Training Shirt,7,5,35,14,1200,10,ASIN-B07DHKYK5C,Active,0.25,4.3,Nike Dri-FIT short sleeve training top
22,Tommy Hilfiger Chino Pants,7,2,79,34,580,18,ASIN-B07T3D6MBV,Active,0.55,4.2,Tommy Hilfiger slim fit chino pants
23,"Lululemon Align Leggings 25""",8,2,128,56,750,5,ASIN-B07XGSKVX7,Active,0.2,4.8,Lululemon Align High-Rise Pants buttery soft
24,Zara Floral Midi Dress,8,2,49.99,18,680,25,ASIN-B0BXMZR4TD,Active,0.45,4.3,Zara floral print midi wrap dress
25,Free People Boho Blouse,8,2,78,32,420,12,ASIN-B08M7BKRTZ,Active,0.28,4.4,Free People flowy boho blouse in white
26,Calvin Klein Sports Bra,8,2,45,18,900,8,ASIN-B08F7D3PCQ,Active,0.15,4.5,Calvin Klein performance medium-support bra
28,Adidas Ultraboost 23,9,5,190,98,360,8,ASIN-B0BN6DY1V9,Active,0.79,4.8,Adidas Ultraboost 23 running shoes
29,Birkenstock Arizona Sandals,9,2,99.99,48,520,5,ASIN-B000W27Y2S,Active,0.75,4.6,Birkenstock Arizona EVA sandals unisex
30,UGG Classic Short Boot,9,7,160,78,290,15,ASIN-B0776FYWML,Active,0.98,4.5,UGG Classic Short sheepskin boot
31,Apple Watch Series 9 45mm,10,1,429,268,320,3,ASIN-B0CHX8WQCC,Active,0.39,4.8,Apple Watch Series 9 GPS + Cellular
32,Fossil Gen 6 Smartwatch,10,7,199,105,240,20,ASIN-B09B2R3YBM,Active,0.32,4.3,Fossil Gen 6 Hybrid HR smartwatch
